Id;Name;Name2
CTRLS;Citrullus Schrad.;(Citrullus Schrad.)
CTRLS_LAN;Citrullus lanatus (Thunb.) Matsum. & Nakai;(Citrullus lanatus (Thunb.) Matsum. & Nakai)
CUCUM;Cucumis L.;(Cucumis L.)
CUCUM_AFR;Cucumis africanus L. f.;(Cucumis africanus L. f.)
CUCUM_ANG;Cucumis anguria L.;(Cucumis anguria L.)
CUCUM_FAN;Hybrids between Cucumis anguria L. and Cucumis ficifolius A. Rich;(Hybrids between Cucumis anguria L. and Cucumis ficifolius A. Rich)
CUCUM_FIC;Cucumis ficifolius A. Rich.;(Cucumis ficifolius A. Rich.)
CUCUM_FMY;hybrids between Cucumis ficifolius and Cucumis myriocarpus Naudin;(hybrids between Cucumis ficifolius and Cucumis myriocarpus Naudin)
CUCUM_HIR;Cucumis hirsutus Sond.;(Cucumis hirsutus Sond.)
CUCUM_MEL;Cucumis melo L.;(Cucumis melo L.)
CUCUM_MEL_MAK;Cucumis melo L. var. makuwa Makino;(Cucumis melo L. var. makuwa Makino)
CUCUM_MEL_MCA;Cucumis melo L. subsp. melo var. cantalupo Ser.;(Cucumis melo L. subsp. melo var. cantalupo Ser.)
CUCUM_MEL_MEF;hybrids between Cucumis melo L. subsp. melo var. flexuosus (L.) Naudin and Cucumis melo L. subsp. melo;(hybrids between Cucumis melo L. subsp. melo var. flexuosus (L.) Naudin and Cucumis melo L. subsp. melo)
CUCUM_MEL_MEL;Cucumis melo L. subsp. melo;(Cucumis melo L. subsp. melo)
CUCUM_MEL_MFL;Cucumis melo L. subsp. melo var. flexuosus (L.) Naudin;(Cucumis melo L. subsp. melo var. flexuosus (L.) Naudin)
CUCUM_MET;Cucumis metuliferus E. Mey. ex Naudin;(Cucumis metuliferus E. Mey. ex Naudin)
CUCUM_MYR;Cucumis myriocarpus Naudin;(Cucumis myriocarpus Naudin)
CUCUM_SAT;Cucumis sativus L.;(Cucumis sativus L.)
CUCUM_SAT_SAT;Cucumis sativus L. var. sativus;(Cucumis sativus L. var. sativus)
CUCUR;Cucurbita L.;(Cucurbita L.)
CUCUR_ARG;Cucurbita argyrosperma C. Huber;(Cucurbita argyrosperma C. Huber)
CUCUR_FIC;Cucurbita ficifolia Bouche;(Cucurbita ficifolia Bouche)
CUCUR_MAX;Cucurbita maxima Duchesne;(Cucurbita maxima Duchesne)
CUCUR_MMO;Cucurbita maxima Duchesne x Cucurbita moschata Duchesne;(Cucurbita maxima Duchesne x Cucurbita moschata Duchesne)
CUCUR_MOS;Cucurbita moschata Duchesne;(Cucurbita moschata Duchesne)
CUCUR_PEP;Cucurbita pepo L.;(Cucurbita pepo L.)
CUMIN;Cuminum;(Cuminum)
CUMIN_CYM;Cuminum cyminum L.;(Cuminum cyminum L.)
CUNNI;Cunninghamia;(Cunninghamia)
CUNNI_LAN;Cunninghamia lanceolata (Lamb.) Hook.;(Cunninghamia lanceolata (Lamb.) Hook.)
CUPHE;Cuphea P. Br.;(Cuphea P. Br.)
CUPHE_CYA;Cuphea cyanea DC.;(Cuphea cyanea DC.)
CUPHE_HYS;Cuphea hyssopifolia Kunth;(Cuphea hyssopifolia Kunth)
CUPHE_IGN;Cuphea ignea A. DC.;(Cuphea ignea A. DC.)
CUPHE_ILA;Cuphea ignea x Cuphea lanceolata;(Cuphea ignea x Cuphea lanceolata)
CUPHE_LAN;Cuphea lanceolata W. T. Aiton;(Cuphea lanceolata W. T. Aiton)
CUPHE_LIN;Cuphea linarioides Cham. & Schltdl.;(Cuphea linarioides Cham. & Schltdl.)
CUPHE_LLA;Cuphea llavea Lex.;(Cuphea llavea Lex.)
CUPHE_LLA_MIN;Cuphea llavea Lex. var. miniata (Brongn.) Koehne;(Cuphea llavea Lex. var. miniata (Brongn.) Koehne)
CUPHE_PRO;Cuphea procumbens Ortega;(Cuphea procumbens Ortega)
CUPHE_RAM;Cuphea ramosissima Pohl ex Koehne;(Cuphea ramosissima Pohl ex Koehne)
CUPRC;?Cupressocyparis Dallim.;(?Cupressocyparis Dallim.)
CUPRC_LEY;?Cuprocyparis leylandii (A. B. Jacks. & Dallim.) Farjon;(?Cuprocyparis leylandii (A. B. Jacks. & Dallim.) Farjon)
CUPRE;Cupressus L.;(Cupressus L.)
CUPRE_ARI;Cupressus arizonica Greene;(Cupressus arizonica Greene)
CUPRE_LUS;Cupressus lusitanica Mill.;(Cupressus lusitanica Mill.)
CUPRE_MAC;Cupressus macrocarpa Hartw. ex Gordon;(Cupressus macrocarpa Hartw. ex Gordon)
CUPRE_NOO;Cupressus nootkatensis D. Don;(Cupressus nootkatensis D. Don)
CUPRE_SEM;Cupressus sempervirens L.;(Cupressus sempervirens L.)
CUPRE_SEM_ATL;Cupressus sempervirens L. var. atlantica (Gaussen) Silba;(Cupressus sempervirens L. var. atlantica (Gaussen) Silba)
CUPRE_SEM_DUP;Cupressus sempervirens L. var. dupreziana (A. Camus) Silba;(Cupressus sempervirens L. var. dupreziana (A. Camus) Silba)
